image_number,line_number,image_path,figure_number,caption,is_relevant,topics,description,enzyme_variants,data_types,key_findings
1,30,![](images/7defbb1380f0e2ab95a17fc1bde14391ff3d48fd0e06a73fda6f6fe3be7153b8.jpg),1,"Fig. 1 | Key steps in the design workflow. a, KE of 5-nitrobenzisoxazole. ‘B’ is a base, implemented as the sidechain of Asp or Glu. b, Thousands of backbones are generated through combinatorial backbone assembly (step 1) and stabilized using PROSS29 (step 2, red spheres). Geometric matching43 and active-site (purple spheres) optimization with Rosetta yield millions of designs that are",true,design workflow|backbone generation|active-site optimization|Rosetta design,"Schematic of the initial steps in the enzyme-design pipeline: combinatorial backbone assembly, PROSS stabilization, and Rosetta-based geometric matching plus active-site optimization for 5-nitrobenzisoxazole Kemp elimination.",,computational design output|backbone models|active-site geometries,Thousands of backbones are generated and stabilized|Millions of designs are produced via Rosetta matching and optimization
2,32,![](images/afa4269e903436cf6900e465de592ec293def3e51c2d6dffcd3079e75b520a62.jpg),1,"Fig. 1 | Key steps in the design workflow. a, KE of 5-nitrobenzisoxazole. ‘B’ is a base, implemented as the sidechain of Asp or Glu. b, Thousands of backbones are generated through combinatorial backbone assembly (step 1) and stabilized using PROSS29 (step 2, red spheres). Geometric matching43 and active-site (purple spheres) optimization with Rosetta yield millions of designs that are",true,design workflow|backbone generation|active-site optimization|Rosetta design,"Schematic of the computational enzyme design pipeline: combinatorial backbone assembly, PROSS stabilization, and Rosetta-based geometric matching plus active-site optimization for 5-nitrobenzisoxazole Kemp elimination.",,computational design steps|backbone models|active-site geometries,Thousands of backbones are generated and stabilized|Millions of designs result from Rosetta matching and optimization|Base (Asp/Glu) is positioned to catalyze Kemp elimination of 5-nitrobenzisoxazole
3,34,![](images/50130183152b7e959d606efb682b6418fe6604f7652c6d4ec3e85bcfc9b615ad.jpg),1,"Fig. 1 | Key steps in the design workflow. a, KE of 5-nitrobenzisoxazole. ‘B’ is a base, implemented as the sidechain of Asp or Glu. b, Thousands of backbones are generated through combinatorial backbone assembly (step 1) and stabilized using PROSS29 (step 2, red spheres). Geometric matching43 and active-site (purple spheres) optimization with Rosetta yield millions of designs that are",true,design workflow|backbone generation|active-site optimization|KE of 5-nitrobenzisoxazole,"Overview of the computational enzyme-design pipeline: combinatorial backbone assembly, PROSS stabilization, geometric matching, and Rosetta active-site optimization for catalyzing 5-nitrobenzisoxazole Kemp elimination with Asp/Glu as the catalytic base.",,computational design|backbone models|active-site geometry,Thousands of backbones are generated and stabilized|Millions of designs are produced via Rosetta matching and optimization|Asp/Glu sidechain acts as the catalytic base for Kemp elimination
4,51,![](images/35b0da8cb0aaa89a2b72b4018051b86d906e69b63f0ad7b7294824b99ec7e072.jpg),2,"Fig. 2 | Improving catalytic efficiency through low-throughput screening of FuncLib designs. a, Catalytic efficiencies of 12 FuncLib designs encoding 5–8 active-site mutations relative to Des27. Data represent mean $\pm s . d$ . of 2–5 biological replicates, except for Des27.2 and Des27.3 $( n = 1 )$ . b, Michaelis–Menten analysis of Des27.7. Data are the mean of two technical repeats. c, The crystal structure of the ligand-unbound Des27.7 (grey, PDB entry 9HVB) verifies the accuracy of the designed active site (blue) with r.m.s.d. $< 0 . 5 \mathring \mathrm { A }$ .",true,low-throughput screening|catalytic efficiency|Michaelis–Menten kinetics|crystal structure validation|active-site mutations,Panel a compares catalytic efficiencies of 12 FuncLib-designed enzyme variants (5–8 active-site mutations) against Des27; panel b shows Michaelis–Menten kinetics for the best variant Des27.7; panel c presents the ligand-free crystal structure of Des27.7 (PDB 9HVB) confirming the designed active-site geometry with <0.5 Å r.m.s.d.,Des27|Des27.2|Des27.3|Des27.7,catalytic efficiency (kcat/KM)|Michaelis–Menten kinetics|crystal structure|r.m.s.d. comparison,FuncLib designs improve catalytic efficiency over Des27|Des27.7 exhibits superior kinetics|crystal structure validates designed active-site mutations with sub-0.5 Å accuracy
5,53,![](images/f4ad69ba36b929551934b5fdb4f175549eab86bf9abe956fe0f27b6dd1da07f4.jpg),2,"Fig. 2 | Improving catalytic efficiency through low-throughput screening of FuncLib designs. a, Catalytic efficiencies of 12 FuncLib designs encoding 5–8 active-site mutations relative to Des27. Data represent mean $\pm s . d$ . of 2–5 biological replicates, except for Des27.2 and Des27.3 $( n = 1 )$ . b, Michaelis–Menten analysis of Des27.7. Data are the mean of two technical repeats. c, The crystal structure of the ligand-unbound Des27.7 (grey, PDB entry 9HVB) verifies the accuracy of the designed active site (blue) with r.m.s.d. $< 0 . 5 \mathring \mathrm { A }$ .",true,low-throughput screening|catalytic efficiency|Michaelis–Menten kinetics|crystal structure validation,Panel a compares catalytic efficiencies of 12 FuncLib-designed enzyme variants carrying 5–8 active-site mutations against the Des27 parent; panel b provides a Michaelis–Menten kinetic analysis of the best variant Des27.7; panel c presents the ligand-free crystal structure of Des27.7 confirming the designed active-site geometry.,Des27|Des27.2|Des27.3|Des27.7|12 FuncLib designs,catalytic efficiency (kcat/Km)|Michaelis–Menten kinetics|crystal structure (PDB 9HVB)|rmsd measurement,FuncLib screening yielded variants with improved catalytic efficiency over Des27|Des27.7 is the most efficient variant and its kinetic parameters were determined|Crystal structure of Des27.7 matches the designed active-site model with <0.5 Å rmsd
6,55,![](images/920ad30e1e41327d4cc6ad3c70c1b174f56cf2c615971f771123e2880ee59056.jpg),2,"Fig. 2 | Improving catalytic efficiency through low-throughput screening of FuncLib designs. a, Catalytic efficiencies of 12 FuncLib designs encoding 5–8 active-site mutations relative to Des27. Data represent mean $\pm s . d$ . of 2–5 biological replicates, except for Des27.2 and Des27.3 $( n = 1 )$ . b, Michaelis–Menten analysis of Des27.7. Data are the mean of two technical repeats. c, The crystal structure of the ligand-unbound Des27.7 (grey, PDB entry 9HVB) verifies the accuracy of the designed active site (blue) with r.m.s.d. $< 0 . 5 \mathring \mathrm { A }$ .",true,low-throughput screening|catalytic efficiency|Michaelis–Menten kinetics|crystal structure validation|active-site mutations,"Figure 2 compares catalytic efficiencies of 12 FuncLib-designed enzyme variants carrying 5–8 active-site mutations against the parent Des27, provides detailed Michaelis–Menten kinetics for the best variant Des27.7, and validates the designed active-site conformation via a 1.9 Å crystal structure (PDB 9HVB).",Des27|Des27.2|Des27.3|Des27.7|12 FuncLib designs,catalytic efficiency (kcat/KM)|Michaelis–Menten parameters|crystal structure (PDB 9HVB)|rmsd measurement,Des27.7 exhibits improved catalytic efficiency over Des27|Designed active-site mutations (5–8 per variant) are accurately modeled with <0.5 Å rmsd in the crystal structure|Low-throughput screening successfully identified more efficient enzyme variants
7,73,![](images/e3bf399245fcb3278f61290fd7222520e502ef5e1fd64024ff9eff070de9cc4c.jpg),3,"Fig. 3 | Structural, energetic and dynamic contributions to the improved catalytic rate of Des27.7. a, Mutations (grey background) at positions 136, 216 and 236 trend with increasing catalytic efficiency, which also trends with Rosetta-computed vdW energy of the catalytic Asp162. Spearman $\rho { = } { - } 0 . 8 8$ , $P { = } 6 \times 1 0 ^ { - 5 }$ . b, Analysis of the structural basis of increased KE activity by comparing substrate-bound models of Des27 (left) and Des27.7 (right). c, Percentage of MD simulation time in which the substrate is within the active site for Des27 and Des27.7 (less than or equal to 4 Å between the substrate and the active site centre of mass; blue) or distant from the active site (wheat). For $2 4 \%$ of the time spent in the bound conformation the substrate adopts a reactive donor-acceptor geometry (highlighted arc). The bars on the right of each pie chart show the distribution of conformations (in, out and other) in the reactive mode. d, In MD simulations, 5-nitrobenzisoxazole (sticks) can assume two catalytically",true,mutational scanning|structure–activity relationship|molecular-dynamics simulation|substrate positioning|reactive-geometry sampling,"Panel a correlates three mutations (positions 136, 216, 236) with rising catalytic efficiency and more favorable Rosetta vdW energy of catalytic Asp162 (Spearman ρ = ‑0.88, P = 6×10⁻⁵). Panel b contrasts substrate-bound models of Des27 versus the 7-fold improved variant Des27.7. Panel c quantifies MD residence time of 5-nitrobenzisoxazole within 4 Å of the active-site center and shows that 24 % of bound time adopts a reactive donor–acceptor geometry. Panel d notes two catalytically relevant binding modes observed for the substrate in MD.",Des27|Des27.7,Rosetta energy calculations|substrate-bound comparative models|molecular-dynamics trajectories|substrate pose populations|reactive-geometry statistics,Triple mutations at 136/216/236 progressively lower Asp162 vdW energy and raise catalytic efficiency|Des27.7 stabilizes the substrate closer to the active-site center than Des27|Substrate spends markedly more time inside the active site in Des27.7|24 % of bound-time samples a catalytically competent donor–acceptor arrangement|Two distinct catalytically relevant substrate orientations are accessible in MD
8,75,![](images/4d4ff52a33f90878fc00b821f35b356476336d1b499692d1ce2743daf130e4cf.jpg),3,"Fig. 3 | Structural, energetic and dynamic contributions to the improved catalytic rate of Des27.7. a, Mutations (grey background) at positions 136, 216 and 236 trend with increasing catalytic efficiency, which also trends with Rosetta-computed vdW energy of the catalytic Asp162. Spearman $\rho { = } { - } 0 . 8 8$ , $P { = } 6 \times 1 0 ^ { - 5 }$ . b, Analysis of the structural basis of increased KE activity by comparing substrate-bound models of Des27 (left) and Des27.7 (right). c, Percentage of MD simulation time in which the substrate is within the active site for Des27 and Des27.7 (less than or equal to 4 Å between the substrate and the active site centre of mass; blue) or distant from the active site (wheat). For $2 4 \%$ of the time spent in the bound conformation the substrate adopts a reactive donor-acceptor geometry (highlighted arc). The bars on the right of each pie chart show the distribution of conformations (in, out and other) in the reactive mode. d, In MD simulations, 5-nitrobenzisoxazole (sticks) can assume two catalytically",true,structure–function relationship|Rosetta energy calculations|molecular-dynamics (MD) simulations|substrate positioning and reactivity,"Correlates three mutations (positions 136, 216, 236) in evolved variant Des27.7 with higher catalytic efficiency, showing that improved activity tracks Rosetta vdW energy of Asp162, and uses MD to reveal longer active-site residence and more frequent reactive conformations of 5-nitrobenzisoxazole.",Des27|Des27.7,"Rosetta vdW energy vs catalytic efficiency scatter plot|substrate-bound structural models|MD simulation occupancy data (bound vs unbound, reactive vs non-reactive geometries)","Spearman ρ = –0.88 (P = 6×10⁻⁵) links lower Asp162 vdW energy to higher kcat/KM across variants|Des27.7 shows increased substrate residence within 4 Å of the active-site center|24 % of bound-time in Des27.7 adopts reactive donor–acceptor geometry vs negligible time in Des27|Mutations at 136, 216, 236 collectively stabilize productive substrate pose, boosting catalytic rate"
9,77,![](images/c094a3d65a94827a48bcde596d22ecf69543896ca4bf25b33147aa114d6fc69a.jpg),3,"Fig. 3 | Structural, energetic and dynamic contributions to the improved catalytic rate of Des27.7. a, Mutations (grey background) at positions 136, 216 and 236 trend with increasing catalytic efficiency, which also trends with Rosetta-computed vdW energy of the catalytic Asp162. Spearman $\rho { = } { - } 0 . 8 8$ , $P { = } 6 \times 1 0 ^ { - 5 }$ . b, Analysis of the structural basis of increased KE activity by comparing substrate-bound models of Des27 (left) and Des27.7 (right). c, Percentage of MD simulation time in which the substrate is within the active site for Des27 and Des27.7 (less than or equal to 4 Å between the substrate and the active site centre of mass; blue) or distant from the active site (wheat). For $2 4 \%$ of the time spent in the bound conformation the substrate adopts a reactive donor-acceptor geometry (highlighted arc). The bars on the right of each pie chart show the distribution of conformations (in, out and other) in the reactive mode. d, In MD simulations, 5-nitrobenzisoxazole (sticks) can assume two catalytically",true,structure–energy–activity relationship|molecular dynamics simulation|substrate positioning|reactive-geometry sampling,"Correlates Des27→Des27.7 mutations (positions 136, 216, 236) with higher catalytic efficiency, shows that improved rate tracks Asp162 van-der-Waals energy (Spearman ρ = –0.88), and uses MD to reveal longer active-site residence and 24 % reactive donor–acceptor geometry for Des27.7.",Des27|Des27.7,Rosetta vdW energy|catalytic efficiency trend|substrate-bound structural models|MD occupancy & conformational distributions,"Mutations at 136, 216, 236 progressively raise kcat/KM|Lower Asp162 vdW energy strongly correlates with higher efficiency|Des27.7 keeps substrate <4 Å from active-site centre longer|24 % of bound time Des27.7 samples reactive donor–acceptor geometry versus negligible time for Des27"
10,84,![](images/9629dda60dc218f9baa17bffe05d8d6558e5cfcb06e8509cb3dcfbe515ea97a5.jpg),,,false,,No caption available,,,
